name,cost,artist,number,type,text,printings
"Azami, Lady of Scrolls",,Ittoku,31,Legendary Creature — Human Wizard,Tap an untapped Wizard you control: Draw a card.,"CHK,C13"
Blue Sun's Zenith,,Izzy,32,Instant,Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.,"MBS,C13,C15"
"Borrowing 100,000 Arrows",,Song Shikai,33,Sorcery,Draw a card for each tapped creature target opponent controls.,"PTK,ME3,C13"
Brilliant Plan,,Song Shikai,34,Sorcery,Draw three cards.,"PTK,ME3,C13"
Control Magic,,Clint Cearley,35,Enchantment — Aura,Enchant creature\nYou control enchanted creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,BRB,ME4,C13,DDM,VMA"
Curse of Inertia,,Jasper Sandner,36,Enchantment — Aura Curse,"Enchant player\nWhenever a player attacks enchanted player with one or more creatures, that attacking player may tap or untap target permanent of his or her choice.",C13
Deceiver Exarch,,Izzy,37,Creature — Cleric,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Deceiver Exarch enters the battlefield, choose one —
• Untap target permanent you control.
• Tap target permanent an opponent controls.","NPH,C13"
Deep Analysis,,Daren Bader,38,Sorcery,"Target player draws two cards.\nFlashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)","pFNM,TOR,DDH,C13,VMA"
Dismiss,,Donato Giancola,39,Instant,Counter target spell.\nDraw a card.,"pARL,TMP,C13,C14,TPR"
Diviner Spirit,,Yeong-Hao Han,40,Creature — Spirit,"Whenever Diviner Spirit deals combat damage to a player, you and that player each draw that many cards.",C13
Djinn of Infinite Deceits,,Robbie Trevino,41,Creature — Djinn,Flying\n{T}: Exchange control of two target nonlegendary creatures. You can't activate this ability during combat.,C13
Dungeon Geists,,Nils Hamm,42,Creature — Spirit,"Flying\nWhen Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists.","DKA,C13"
Echo Mage,,Matt Stewart,43,Creature — Human Wizard,"Level up {1}{U} ({1}{U}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 2-3
2/4
{U}{U}, {T}: Copy target instant or sorcery spell. You may choose new targets for the copy.
LEVEL 4+
2/5
{U}{U}, {T}: Copy target instant or sorcery spell twice. You may choose new targets for the copies.","ROE,C13"
Fog Bank,,Howard Lyon,44,Creature — Wall,"Defender, flying\nPrevent all combat damage that would be dealt to and dealt by Fog Bank.","USG,CMD,M13,C13,C14"
Guard Gomazoa,,Rob Alexander,45,Creature — Jellyfish,"Defender, flying\nPrevent all combat damage that would be dealt to Guard Gomazoa.","ROE,CMD,PC2,C13"
Hada Spy Patrol,,Zoltan Boros & Gabor Szikszai,46,Creature — Human Rogue,Level up {2}{U} ({2}{U}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-2
2/2
Hada Spy Patrol can't be blocked.
LEVEL 3+
3/3
Shroud (This creature can't be the target of spells or abilities.)
Hada Spy Patrol can't be blocked.,"ROE,C13"
Illusionist's Gambit,,Zoltan Boros,47,Instant,"Cast Illusionist's Gambit only during the declare blockers step on an opponent's turn.\nRemove all attacking creatures from combat and untap them. After this phase, there is an additional combat phase. Each of those creatures attacks that combat if able. They can't attack you or a planeswalker you control that combat.",C13
Jace's Archivist,,James Ryman,48,Creature — Vedalken Wizard,"{U}, {T}: Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.","M12,C13,C15"
"Lu Xun, Scholar General",,Xu Xiaoming,49,Legendary Creature — Human Soldier,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nWhenever Lu Xun, Scholar General deals damage to an opponent, you may draw a card.","PTK,ME3,C13"
Mnemonic Wall,,Vance Kovacs,50,Creature — Wall,"Defender\nWhen Mnemonic Wall enters the battlefield, you may return target instant or sorcery card from your graveyard to your hand.","ROE,THS,C13"
Opportunity,,Allen Williams,51,Instant,Target player draws four cards.,"ULG,BRB,7ED,M14,C13"
Order of Succession,,Magali Villeneuve,52,Sorcery,"Choose left or right. Starting with you and proceeding in the chosen direction, each player chooses a creature controlled by the next player in that direction. Each player gains control of the creature he or she chose.",C13
Propaganda,,Clint Cearley,53,Enchantment,Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"TMP,CMD,C13"
Prosperity,,Nic Klein,54,Sorcery,Each player draws X cards.,"VIS,POR,6ED,C13"
Raven Familiar,,John Avon,55,Creature — Bird,"Flying\nEcho {2}{U} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Raven Familiar enters the battlefield, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.","ULG,C13"
Sharding Sphinx,,Michael Bruinsma,56,Artifact Creature — Sphinx,"Flying\nWhenever an artifact creature you control deals combat damage to a player, you may put a 1/1 blue Thopter artifact creature token with flying onto the battlefield.","ALA,C13"
Skyscribing,,Richard Wright,57,Sorcery,"Each player draws X cards.\nForecast — {2}{U}, Reveal Skyscribing from your hand: Each player draws a card. (Activate this ability only during your upkeep and only once each turn.)","DIS,CMD,C13"
Stormscape Battlemage,,Christopher Moeller,58,Creature — Metathran Wizard,"Kicker {W} and/or {2}{B}\nWhen Stormscape Battlemage enters the battlefield, if it was kicked with its {W} kicker, you gain 3 life.
When Stormscape Battlemage enters the battlefield, if it was kicked with its {2}{B} kicker, destroy target nonblack creature. That creature can't be regenerated.","PLS,C13"
Strategic Planning,,Zhang Jiazhen,59,Sorcery,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,"PTK,ME3,C13"
Tempt with Reflections,,Mike Bierek,60,Sorcery,"Tempting offer — Choose target creature you control. Put a token onto the battlefield that's a copy of that creature. Each opponent may put a token onto the battlefield that's a copy of that creature. For each opponent who does, put a token onto the battlefield that's a copy of that creature.",C13
Thornwind Faeries,,Rebecca Guay,61,Creature — Faerie,Flying\n{T}: Thornwind Faeries deals 1 damage to target creature or player.,"ULG,C13"
Tidal Force,,Phill Simmer,62,Creature — Elemental,"At the beginning of each upkeep, you may tap or untap target permanent.",C13
True-Name Nemesis,,Zack Stella,63,Creature — Merfolk Rogue,"As True-Name Nemesis enters the battlefield, choose a player.\nTrue-Name Nemesis has protection from the chosen player. (This creature can't be blocked, targeted, dealt damage, or enchanted by anything controlled by that player.)",C13
"Uyo, Silent Prophet",,John Bolton,64,Legendary Creature — Moonfolk Wizard,"Flying\n{2}, Return two lands you control to their owner's hand: Copy target instant or sorcery spell. You may choose new targets for the copy.","CHK,C13"
Vision Skeins,,Aleksi Briclot,65,Instant,Each player draws two cards.,"DIS,CMD,C13"
Wash Out,,Steven Belledin,66,Sorcery,Return all permanents of the color of your choice to their owners' hands.,"pMEI,INV,C13"
Wonder,,Rebecca Guay,67,Creature — Incarnation,"Flying\nAs long as Wonder is in your graveyard and you control an Island, creatures you control have flying.","pFNM,JUD,CMD,C13"
Annihilate,,Kev Walker,68,Instant,Destroy target nonblack creature. It can't be regenerated.\nDraw a card.,"INV,C13,C14"
Army of the Damned,,Ryan Pancoast,69,Sorcery,Put thirteen 2/2 black Zombie creature tokens onto the battlefield tapped.\nFlashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"ISD,C13"
Baleful Force,,Eytan Zana,70,Creature — Elemental,"At the beginning of each upkeep, you draw a card and you lose 1 life.","C13,VMA"
Curse of Shallow Graves,,Karla Ortiz,71,Enchantment — Aura Curse,"Enchant player\nWhenever a player attacks enchanted player with one or more creatures, that attacking player may put a 2/2 black Zombie creature token onto the battlefield tapped.",C13
Decree of Pain,,Mathias Kollros,72,Sorcery,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.\nCycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)
When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.","SCG,CM1,C13"
Dirge of Dread,,Heather Hudson,73,Sorcery,"All creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)\nCycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
When you cycle Dirge of Dread, you may have target creature gain fear until end of turn.","ONS,C13"
Disciple of Griselbrand,,Clint Cearley,74,Creature — Human Cleric,"{1}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.","ISD,C13"
Endless Cockroaches,,Ron Spencer,75,Creature — Insect,"When Endless Cockroaches dies, return it to its owner's hand.","POR,C13"
"Endrek Sahr, Master Breeder",,Mark Tedin,76,Legendary Creature — Human Wizard,"Whenever you cast a creature spell, put X 1/1 black Thrull creature tokens onto the battlefield, where X is that spell's converted mana cost.\nWhen you control seven or more Thrulls, sacrifice Endrek Sahr, Master Breeder.","TSP,C13,MM2"
Famine,,Karla Ortiz,77,Sorcery,Famine deals 3 damage to each creature and each player.,"PTK,ME3,C13,VMA"
Fell Shepherd,,Brad Rigney,78,Creature — Avatar,"Whenever Fell Shepherd deals combat damage to a player, you may return to your hand all creature cards that were put into your graveyard from the battlefield this turn.\n{B}, Sacrifice another creature: Target creature gets -2/-2 until end of turn.",C13
Greed,,Izzy,79,Enchantment,"{B}, Pay 2 life: Draw a card.","LEG,4ED,6ED,7ED,C13"
Hooded Horror,,Allen Williams,80,Creature — Horror,Hooded Horror can't be blocked as long as defending player controls the most creatures or is tied for the most.,C13
Infest,,Karl Kopinski,81,Sorcery,All creatures get -2/-2 until end of turn.,"pMPR,ONS,ALA,ARC,C13"
Marrow Bats,,Jason A. Engle,82,Creature — Bat Skeleton,Flying\nPay 4 life: Regenerate Marrow Bats.,"AVR,C13"
Nightscape Familiar,,Jeff Easley,83,Creature — Zombie,Blue spells and red spells you cast cost {1} less to cast.\n{1}{B}: Regenerate Nightscape Familiar.,"PLS,DDH,C13,VMA"
Ophiomancer,,John Stanko,84,Creature — Human Shaman,"At the beginning of each upkeep, if you control no Snakes, put a 1/1 black Snake creature token with deathtouch onto the battlefield.",C13
Phthisis,,Carl Critchlow,85,Sorcery,"Destroy target creature. Its controller loses life equal to its power plus its toughness.\nSuspend 5—{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)","TSP,MMA,C13"
Phyrexian Delver,,Igor Kieryluk,86,Creature — Zombie,"When Phyrexian Delver enters the battlefield, return target creature card from your graveyard to the battlefield. You lose life equal to that card's converted mana cost.","INV,C13"
Phyrexian Gargantua,,Igor Kieryluk,87,Creature — Horror,"When Phyrexian Gargantua enters the battlefield, you draw two cards and you lose 2 life.","APC,9ED,DDE,C13,C14"
Phyrexian Reclamation,,rk post,88,Enchantment,"{1}{B}, Pay 2 life: Return target creature card from your graveyard to your hand.","ULG,C13,C15"
Price of Knowledge,,Dan Scott,89,Enchantment,"Players have no maximum hand size.\nAt the beginning of each opponent's upkeep, Price of Knowledge deals damage to that player equal to the number of cards in that player's hand.",C13
Quagmire Druid,,Jaime Jones,90,Creature — Zombie Druid,"{G}, {T}, Sacrifice a creature: Destroy target enchantment.","APC,C13"
Reckless Spite,,Karl Kopinski,91,Instant,Destroy two target nonblack creatures. You lose 5 life.,"TMP,INV,C13,CNS"
Sanguine Bond,,Jaime Jones,92,Enchantment,"Whenever you gain life, target opponent loses that much life.","M10,M14,C13"
Stronghold Assassin,,Matthew D. Wilson,93,Creature — Zombie Assassin,"{T}, Sacrifice a creature: Destroy target nonblack creature.","STH,7ED,C13,TPR"
Sudden Spoiling,,Alan Pollack,94,Instant,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nUntil end of turn, creatures target player controls lose all abilities and have base power and toughness 0/2.","TSP,C13,C14"
Tempt with Immortality,,Philip Straub,95,Sorcery,"Tempting offer — Return a creature card from your graveyard to the battlefield. Each opponent may return a creature card from his or her graveyard to the battlefield. For each player who does, return a creature card from your graveyard to the battlefield.",C13
Toxic Deluge,,Svetlin Velinov,96,Sorcery,"As an additional cost to cast Toxic Deluge, pay X life.\nAll creatures get -X/-X until end of turn.",C13
Vampire Nighthawk,,Jason Chan,97,Creature — Vampire Shaman,Flying\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.),"pWPN,ZEN,CMD,M13,DDK,C13,DDP"
Vile Requiem,,Carl Critchlow,98,Enchantment,"At the beginning of your upkeep, you may put a verse counter on Vile Requiem.\n{1}{B}, Sacrifice Vile Requiem: Destroy up to X target nonblack creatures, where X is the number of verse counters on Vile Requiem. They can't be regenerated.","USG,C13"
Viscera Seer,,John Stanko,99,Creature — Vampire Wizard,Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),"M11,C13"
Wight of Precinct Six,,Ryan Barger,100,Creature — Zombie,Wight of Precinct Six gets +1/+1 for each creature card in your opponents' graveyards.,"GTC,C13,DDM"
Blood Rites,,Raymond Swanland,101,Enchantment,"{1}{R}, Sacrifice a creature: Blood Rites deals 2 damage to target creature or player.","CHK,C13"
Capricious Efreet,,Justin Sweet,102,Creature — Efreet,"At the beginning of your upkeep, choose target nonland permanent you control and up to two target nonland permanents you don't control. Destroy one of them at random.","M10,C13"
Charmbreaker Devils,,Dan Scott,103,Creature — Devil,"At the beginning of your upkeep, return an instant or sorcery card at random from your graveyard to your hand.\nWhenever you cast an instant or sorcery spell, Charmbreaker Devils gets +4/+0 until end of turn.","ISD,C13,C15"
Crater Hellion,,Daren Bader,104,Creature — Hellion Beast,"Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Crater Hellion enters the battlefield, it deals 4 damage to each other creature.","USG,DDL,C13,VMA"
Curse of Chaos,,Jason A. Engle,105,Enchantment — Aura Curse,"Enchant player\nWhenever a player attacks enchanted player with one or more creatures, that attacking player may discard a card. If the player does, he or she draws a card.",C13
Fireball,,Dave Dorman,106,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC"
Fissure Vent,,Philip Straub,107,Sorcery,Choose one or both —\n• Destroy target artifact.
• Destroy target nonbasic land.,"ROE,C13"
From the Ashes,,Karl Kopinski,108,Sorcery,"Destroy all nonbasic lands. For each land destroyed this way, its controller may search his or her library for a basic land card and put it onto the battlefield. Then each player who searched his or her library this way shuffles it.",C13
Furnace Celebration,,Svetlin Velinov,109,Enchantment,"Whenever you sacrifice another permanent, you may pay {2}. If you do, Furnace Celebration deals 2 damage to target creature or player.","SOM,C13"
Goblin Bombardment,,Brian Snõddy,110,Enchantment,Sacrifice a creature: Goblin Bombardment deals 1 damage to target creature or player.,"TMP,pFNM,C13,DDN,TPR"
Goblin Sharpshooter,,Wayne Reynolds,111,Creature — Goblin,"Goblin Sharpshooter doesn't untap during your untap step.\nWhenever a creature dies, untap Goblin Sharpshooter.
{T}: Goblin Sharpshooter deals 1 damage to target creature or player.","ONS,C13"
Guttersnipe,,Steve Prescott,112,Creature — Goblin Shaman,"Whenever you cast an instant or sorcery spell, Guttersnipe deals 2 damage to each opponent.","RTR,C13"
Incendiary Command,,Wayne England,113,Sorcery,"Choose two —\n• Incendiary Command deals 4 damage to target player.
• Incendiary Command deals 2 damage to each creature.
• Destroy target nonbasic land.
• Each player discards all the cards in his or her hand, then draws that many cards.","LRW,C13"
Inferno Titan,,Kev Walker,114,Creature — Giant,"{R}: Inferno Titan gets +1/+0 until end of turn.\nWhenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.","pMEI,M11,M12,C13,C15"
Magus of the Arena,,Thomas M. Baxa,115,Creature — Human Wizard,"{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. (Each deals damage equal to its power to the other.)","PLC,C13"
Mass Mutiny,,Carl Critchlow,116,Sorcery,"For each opponent, gain control of up to one target creature that player controls until end of turn. Untap those creatures. They gain haste until end of turn.","PC2,C13"
Molten Disaster,,Ittoku,117,Sorcery,"Kicker {R} (You may pay an additional {R} as you cast this spell.)\nIf Molten Disaster was kicked, it has split second. (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Molten Disaster deals X damage to each creature without flying and each player.","FUT,MMA,C13"
Rough,,Luca Zontini,118a,Sorcery,Rough deals 2 damage to each creature without flying.,"PLC,C13"
Tumble,,Luca Zontini,118b,Sorcery,Tumble deals 6 damage to each creature with flying.,"PLC,C13"
Slice and Dice,,Mark Brill,119,Sorcery,"Slice and Dice deals 4 damage to each creature.\nCycling {2}{R} ({2}{R}, Discard this card: Draw a card.)
When you cycle Slice and Dice, you may have it deal 1 damage to each creature.","pFNM,ONS,C13"
Spitebellows,,Larry MacDougall,120,Creature — Elemental,"When Spitebellows leaves the battlefield, it deals 6 damage to target creature.\nEvoke {1}{R}{R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","MOR,CMD,C13,C14,MM2"
Stalking Vengeance,,Anthony S. Waters,121,Creature — Avatar,"Haste\nWhenever another creature you control dies, it deals damage equal to its power to target player.","DIS,C13"
Starstorm,,Jonas De Ro,122,Instant,"Starstorm deals X damage to each creature.\nCycling {3} ({3}, Discard this card: Draw a card.)","ONS,C13,VMA,C14"
Street Spasm,,Raymond Swanland,123,Instant,"Street Spasm deals X damage to target creature without flying you don't control.\nOverload {X}{X}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of "target" with "each.")","DDJ,RTR,C13"
Sudden Demise,,Dan Scott,124,Sorcery,Choose a color. Sudden Demise deals X damage to each creature of the chosen color.,C13
Tempt with Vengeance,,Ryan Barger,125,Sorcery,"Tempting offer — Put X 1/1 red Elemental creature tokens with haste onto the battlefield. Each opponent may put X 1/1 red Elemental creature tokens with haste onto the battlefield. For each player who does, put X 1/1 red Elemental creature tokens with haste onto the battlefield.",C13
Terra Ravager,,Ralph Horsley,126,Creature — Elemental Beast,"Whenever Terra Ravager attacks, it gets +X/+0 until end of turn, where X is the number of lands defending player controls.",C13
Tooth and Claw,,Val Mayerik,127,Enchantment,Sacrifice two creatures: Put a 3/1 red Beast creature token named Carnivore onto the battlefield.,"TMP,C13"
War Cadence,,John Matson,128,Enchantment,"{X}{R}: This turn, creatures can't block unless their controller pays {X} for each blocking creature he or she controls.","MMQ,C13"
Warstorm Surge,,Raymond Swanland,129,Enchantment,"Whenever a creature enters the battlefield under your control, it deals damage equal to its power to target creature or player.","M12,PC2,C13,C15"
Where Ancients Tread,,Zoltan Boros & Gabor Szikszai,130,Enchantment,"Whenever a creature with power 5 or greater enters the battlefield under your control, you may have Where Ancients Tread deal 5 damage to target creature or player.","ALA,C13"
Widespread Panic,,Dave Kendall,131,Enchantment,"Whenever a spell or ability causes its controller to shuffle his or her library, that player puts a card from his or her hand on top of his or her library.",C13
Wild Ricochet,,Dan Scott,132,Instant,You may choose new targets for target instant or sorcery spell. Then copy that spell. You may choose new targets for the copy.,"LRW,CMD,M14,C13"
Witch Hunt,,Karl Kopinski,133,Enchantment,"Players can't gain life.\nAt the beginning of your upkeep, Witch Hunt deals 4 damage to you.
At the beginning of your end step, target opponent chosen at random gains control of Witch Hunt.",C13
Acidic Slime,,Karl Kopinski,134,Creature — Ooze,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhen Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","pFNM,M10,M11,CMD,M12,M13,C13,DDM,C15"
Avenger of Zendikar,,Zoltan Boros & Gabor Szikszai,135,Creature — Elemental,"When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.\nLandfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.","WWK,C13,DDP"
Baloth Woodcrasher,,Zoltan Boros & Gabor Szikszai,136,Creature — Beast,"Landfall — Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.","ZEN,CMD,C13"
Bane of Progress,,Lars Grant-West,137,Creature — Elemental,"When Bane of Progress enters the battlefield, destroy all artifacts and enchantments. Put a +1/+1 counter on Bane of Progress for each permanent destroyed this way.","C13,C15"
Brooding Saurian,,rk post,138,Creature — Lizard,"At the beginning of each end step, each player gains control of all nontoken permanents he or she owns.","CSP,C13"
Cultivate,,Anthony Palumbo,139,Sorcery,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.","pFNM,M11,CMD,PC2,C13"
Curse of Predation,,Jack Wang,140,Enchantment — Aura Curse,"Enchant player\nWhenever a creature attacks enchanted player, put a +1/+1 counter on it.",C13
Deadwood Treefolk,,Don Hazeltine,141,Creature — Treefolk,"Vanishing 3 (This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Deadwood Treefolk enters the battlefield or leaves the battlefield, return another target creature card from your graveyard to your hand.","PLC,CMD,C13"
Drumhunter,,Jim Murray,142,Creature — Human Druid Warrior,"At the beginning of your end step, if you control a creature with power 5 or greater, you may draw a card.\n{T}: Add {1} to your mana pool.","ALA,C13"
Elvish Skysweeper,,Mark Tedin,143,Creature — Elf Warrior,"{4}{G}, Sacrifice a creature: Destroy target creature with flying.","RAV,C13,C14"
Farhaven Elf,,Brandon Kitkouski,144,Creature — Elf Druid,"When Farhaven Elf enters the battlefield, you may search your library for a basic land card and put it onto the battlefield tapped. If you do, shuffle your library.","SHM,C13,C14"
