name,cost,artist,number,type,text,printings
Mass Polymorph,,Christopher Moeller,64,Sorcery,"Exile all creatures you control, then reveal cards from the top of your library until you reveal that many creature cards. Put all creature cards revealed this way onto the battlefield, then shuffle the rest of the revealed cards into your library.",M11
Merfolk Sovereign,,Jesper Ejsing,65,Creature — Merfolk,Other Merfolk creatures you control get +1/+1.\n{T}: Target Merfolk creature can't be blocked this turn.,"M10,M11"
Merfolk Spy,,Matt Cavotta & Richard Whitters,66,Creature — Merfolk Rogue,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nWhenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.","M11,M14"
Mind Control,,Ryan Pancoast,67,Enchantment — Aura,Enchant creature\nYou control enchanted creature.,"pWPN,M10,DPA,M11,M12"
Negate,,Jeremy Jarvis,68,Instant,Counter target noncreature spell.,"pMPR,MOR,M10,DPA,M11,M12,M13,M14,M15,DTK,ORI"
Phantom Beast,,Ryan Yee,69,Creature — Illusion Beast,"When Phantom Beast becomes the target of a spell or ability, sacrifice it.",M11
Preordain,,Svetlin Velinov,70,Sorcery,"Scry 2, then draw a card. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","M11,DDI,C15"
Redirect,,Izzy,71,Instant,You may choose new targets for target spell.,"M11,M12,M13"
Scroll Thief,,Alex Horley-Orlandelli,72,Creature — Merfolk Rogue,"Whenever Scroll Thief deals combat damage to a player, draw a card.","M11,DDI,M13,M14"
Sleep,,Chris Rahn,73,Sorcery,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,"M10,M11,M13,C15"
Stormtide Leviathan,,Karl Kopinski,74,Creature — Leviathan,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nAll lands are Islands in addition to their other types.
Creatures without flying or islandwalk can't attack.,"M11,M13,M15"
Time Reversal,,Howard Lyon,75,Sorcery,"Each player shuffles his or her hand and graveyard into his or her library, then draws seven cards. Exile Time Reversal.","M11,M12"
Tome Scour,,Steven Belledin,76,Sorcery,Target player puts the top five cards of his or her library into his or her graveyard.,"M10,M11,M14"
Traumatize,,Greg Staples,77,Sorcery,"Target player puts the top half of his or her library, rounded down, into his or her graveyard.","ODY,9ED,10E,M10,M11,M14"
Unsummon,,Izzy,78,Instant,Return target creature to its owner's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,CON,M10,DPA,M11,M12,M13"
Wall of Frost,,Mike Bierek,79,Creature — Wall,"Defender (This creature can't attack.)\nWhenever Wall of Frost blocks a creature, that creature doesn't untap during its controller's next untap step.","M10,M11,PC2,M14,M15"
Water Servant,,Igor Kieryluk,80,Creature — Elemental,{U}: Water Servant gets +1/-1 until end of turn.\n{U}: Water Servant gets -1/+1 until end of turn.,"M11,M14,MM2"
Assassinate,,Kev Walker,81,Sorcery,Destroy target tapped creature.,"TSP,10E,M10,M11,PC2,CNS"
Barony Vampire,,Daarken,82,Creature — Vampire,,M11
Black Knight,,Christopher Moeller,83,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,pFNM,MED,M10,M11,ME4"
Blood Tithe,,Robh Ruppel,84,Sorcery,Each opponent loses 3 life. You gain life equal to the life lost this way.,M11
Bloodthrone Vampire,,Steve Argyle,85,Creature — Vampire,Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.,"pMEI,ROE,M11,M13,MM2,DDP"
Bog Raiders,,Carl Critchlow,86,Creature — Zombie,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"POR,USG,S99,M11"
Captivating Vampire,,Eric Deschamps,87,Creature — Vampire,Other Vampire creatures you control get +1/+1.\nTap five untapped Vampires you control: Gain control of target creature. It becomes a Vampire in addition to its other types.,M11
Child of Night,,Ash Wood,88,Creature — Vampire,Lifelink (Damage dealt by this creature also causes you to gain that much life.),"M10,M11,M12,DDK,M14,M15"
Corrupt,,Dave Allsop,89,Sorcery,Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.,"pMEI,USG,7ED,pMPR,SHM,DDC,DDD,M11,M14,DD3_DVD,DD3_GVL"
Dark Tutelage,,James Ryman,90,Enchantment,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost.",M11
Deathmark,,Steven Belledin,91,Sorcery,Destroy target green or white creature.,"CSP,10E,M10,M11,M12,MM2"
Demon of Death's Gate,,Vance Kovacs,92,Creature — Demon,"You may pay 6 life and sacrifice three black creatures rather than pay Demon of Death's Gate's mana cost.\nFlying, trample",M11
Diabolic Tutor,,Greg Staples,93,Sorcery,Search your library for a card and put that card into your hand. Then shuffle your library.,"ODY,8ED,9ED,10E,M10,M11,CMD,M12,M14"
Disentomb,,Alex Horley-Orlandelli,94,Sorcery,Return target creature card from your graveyard to your hand.,"M10,M11,M12,M13"
Doom Blade,,Chippy,95,Instant,Destroy target nonblack creature.,"pMPR,M10,M11,CMD,M12,M14"
Duress,,Steven Belledin,96,Sorcery,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.","pMEI,pARL,USG,pFNM,7ED,DDC,M10,M11,PD3,M13,M14,MD1,DD3_DVD,DTK"
Grave Titan,,Nils Hamm,97,Creature — Giant,"Deathtouch\nWhenever Grave Titan enters the battlefield or attacks, put two 2/2 black Zombie creature tokens onto the battlefield.","pMEI,M11,M12,C14"
Gravedigger,,Dermot Power,98,Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.","POR,TMP,6ED,S99,BTD,7ED,ODY,8ED,9ED,pGTW,10E,M10,HOP,M11,CMD,M12,M15,TPR"
Haunting Echoes,,Nils Hamm,99,Sorcery,"Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles his or her library.","ODY,M10,M11"
Howling Banshee,,Andrew Robinson,100,Creature — Spirit,"Flying\nWhen Howling Banshee enters the battlefield, each player loses 3 life.","M10,DDD,M11,DD3_GVL"
Leyline of the Void,,Rob Alexander,101,Enchantment,"If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.\nIf a card would be put into an opponent's graveyard from anywhere, exile it instead.","GPT,M11"
Liliana Vess,,Aleksi Briclot,102,Planeswalker — Liliana,"+1: Target player discards a card.\n−2: Search your library for a card, then shuffle your library and put that card on top of it.
−8: Put all creature cards from all graveyards onto the battlefield under your control.","pMEI,LRW,M10,DDD,M11,M15,DD3_GVL"
Liliana's Caress,,Steve Argyle,103,Enchantment,"Whenever an opponent discards a card, that player loses 2 life.",M11
Liliana's Specter,,Vance Kovacs,104,Creature — Specter,"Flying\nWhen Liliana's Specter enters the battlefield, each opponent discards a card.","pMGD,M11,PC2,CNS"
Mind Rot,,Steve Luke,105,Sorcery,Target player discards two cards.,"POR,PO2,S99,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M13,RTR,M14,M15,DTK,ORI"
Nantuko Shade,,Brian Snõddy,106,Creature — Insect Shade,{B}: Nantuko Shade gets +1/+1 until end of turn.,"TOR,M11,C14"
Necrotic Plague,,Jaime Jones,107,Enchantment — Aura,"Enchant creature\nEnchanted creature has "At the beginning of your upkeep, sacrifice this creature."
When enchanted creature dies, its controller chooses target creature one of his or her opponents controls. Return Necrotic Plague from its owner's graveyard to the battlefield attached to that creature.",M11
Nether Horror,,Allen Williams,108,Creature — Horror,,M11
Nightwing Shade,,Lucas Graciano,109,Creature — Shade,Flying\n{1}{B}: Nightwing Shade gets +1/+1 until end of turn.,"M11,M14"
Phylactery Lich,,Michael Komarck,110,Creature — Zombie,"Indestructible\nAs Phylactery Lich enters the battlefield, put a phylactery counter on an artifact you control.
When you control no permanents with phylactery counters on them, sacrifice Phylactery Lich.","M11,M13"
Quag Sickness,,Martina Pilcerova,111,Enchantment — Aura,Enchant creature\nEnchanted creature gets -1/-1 for each Swamp you control.,"M11,M14"
Reassembling Skeleton,,Austin Hsu,112,Creature — Skeleton Warrior,{1}{B}: Return Reassembling Skeleton from your graveyard to the battlefield tapped.,"ARC,M11,M12,DDJ,DDK,MM2"
Relentless Rats,,Thomas M. Baxa,113,Creature — Rat,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.,"5DN,10E,M10,M11"
Rise from the Grave,,Vance Kovacs,114,Sorcery,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,"pWPN,M10,DDD,M11,CMD,M13,DD3_GVL,C15"
Rotting Legion,,Carl Critchlow,115,Creature — Zombie,Rotting Legion enters the battlefield tapped.,M11
Royal Assassin,,Mark Zug,116,Creature — Human Assassin,{T}: Destroy target tapped creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pSUS,8ED,9ED,10E,M10,M11,M12"
Sign in Blood,,Howard Lyon,117,Sorcery,Target player draws two cards and loses 2 life.,"pMPR,M10,DDD,ARC,M11,CMD,M13,M15,C14,DD3_GVL,MM2"
Stabbing Pain,,Zoltan Boros & Gabor Szikszai,118,Instant,Target creature gets -1/-1 until end of turn. Tap that creature.,M11
Unholy Strength,,Terese Nielsen,119,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,7ED,8ED,9ED,10E,DDC,M10,DPA,M11,DD3_DVD"
Viscera Seer,,John Stanko,120,Creature — Vampire Wizard,Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),"M11,C13"
Act of Treason,,Eric Deschamps,121,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),"M10,DPA,M11,M12,GTC,M14,DDN,KTK,ORI"
Ancient Hellkite,,Jason Chan,122,Creature — Dragon,Flying\n{R}: Ancient Hellkite deals 1 damage to target creature defending player controls. Activate this ability only if Ancient Hellkite is attacking.,"pLPA,M11"
Arc Runner,,Nils Hamm,123,Creature — Elemental Ox,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Arc Runner.",M11
Berserkers of Blood Ridge,,Karl Kopinski,124,Creature — Human Berserker,Berserkers of Blood Ridge attacks each turn if able.,"M10,M11"
Bloodcrazed Goblin,,Steve Prescott,125,Creature — Goblin Berserker,Bloodcrazed Goblin can't attack unless an opponent has been dealt damage this turn.,M11
Canyon Minotaur,,Steve Prescott,126,Creature — Minotaur Warrior,,"CON,M10,M11,M13,M14"
Chandra Nalaar,,Aleksi Briclot,127,Planeswalker — Chandra,+1: Chandra Nalaar deals 1 damage to target player.\n−X: Chandra Nalaar deals X damage to target creature.
−8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.,"LRW,DD2,M10,M11,DD3_JVC"
Chandra's Outrage,,Christopher Moeller,128,Instant,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.,"ARC,M11,M12,M14"
Chandra's Spitfire,,Justin Sweet,129,Creature — Elemental,"Flying\nWhenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn.",M11
Combust,,Jaime Jones,130,Instant,Combust can't be countered by spells or abilities.\nCombust deals 5 damage to target white or blue creature. The damage can't be prevented.,"M11,M12,MM2"
Cyclops Gladiator,,Kev Walker,131,Creature — Cyclops Warrior,"Whenever Cyclops Gladiator attacks, you may have it deal damage equal to its power to target creature defending player controls. If you do, that creature deals damage equal to its power to Cyclops Gladiator.",M11
Demolish,,John Avon,132,Sorcery,Destroy target artifact or land.,"ODY,8ED,9ED,10E,ZEN,M11,AVR,M14,THS,ORI"
Destructive Force,,Jung Park,133,Sorcery,Each player sacrifices five lands. Destructive Force deals 5 damage to each creature.,M11
Earth Servant,,Lucas Graciano,134,Creature — Elemental,Earth Servant gets +0/+1 for each Mountain you control.,"M11,DDI"
Ember Hauler,,Steve Prescott,135,Creature — Goblin,"{1}, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to target creature or player.",M11
Fiery Hellhound,,Ted Galaday,136,Creature — Elemental Hound,{R}: Fiery Hellhound gets +1/+0 until end of turn.,"M10,M11,M12,DDI,ORI"
Fire Servant,,Ryan Yee,137,Creature — Elemental,"If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.","M11,PD2"
Fireball,,Dave Dorman,138,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC"
Fling,,Paolo Parente,139,Instant,"As an additional cost to cast Fling, sacrifice a creature.\nFling deals damage equal to the sacrificed creature's power to target creature or player.","pARL,STH,pWPN,M11,M12,DKA,PC2"
Goblin Balloon Brigade,,Lars Grant-West,140,Creature — Goblin Warrior,{R}: Goblin Balloon Brigade gains flying until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,9ED,M11"
Goblin Chieftain,,Sam Wood,141,Creature — Goblin,Haste (This creature can attack and {T} as soon as it comes under your control.)\nOther Goblin creatures you control get +1/+1 and have haste.,"M10,M11,M12"
Goblin Piker,,DiTerlizzi,142,Creature — Goblin Warrior,,"PO2,9ED,10E,M10,DPA,M11,M12"
Goblin Tunneler,,Jesper Ejsing,143,Creature — Goblin Rogue,{T}: Target creature with power 2 or less can't be blocked this turn.,"ROE,M11,M12"
Hoarding Dragon,,Matt Cavotta,144,Creature — Dragon,"Flying\nWhen Hoarding Dragon enters the battlefield, you may search your library for an artifact card, exile it, then shuffle your library.
When Hoarding Dragon dies, you may put the exiled card into its owner's hand.","M11,M15"
Incite,,Scott Chou,145,Instant,Target creature becomes red until end of turn and attacks this turn if able.,M11
Inferno Titan,,Kev Walker,146,Creature — Giant,"{R}: Inferno Titan gets +1/+0 until end of turn.\nWhenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.","pMEI,M11,M12,C13,C15"
Lava Axe,,Brian Snõddy,147,Sorcery,Lava Axe deals 5 damage to target player.,"POR,PO2,ULG,S99,S00,BTD,7ED,8ED,9ED,pGTW,10E,M10,M11,M12,M14,M15"
Leyline of Punishment,,Charles Urbach,148,Enchantment,"If Leyline of Punishment is in your opening hand, you may begin the game with it on the battlefield.\nPlayers can't gain life.
Damage can't be prevented.",M11
Lightning Bolt,,Christopher Moeller,149,Instant,Lightning Bolt deals 3 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,ATH,BTD,pMPR,MED,M10,M11,PD2,MM2"
Magma Phoenix,,Raymond Swanland,150,Creature — Phoenix,"Flying\nWhen Magma Phoenix dies, it deals 3 damage to each creature and each player.
{3}{R}{R}: Return Magma Phoenix from your graveyard to your hand.","M10,M11"
Manic Vandal,,Christopher Moeller,151,Creature — Human Warrior,"When Manic Vandal enters the battlefield, destroy target artifact.","M11,M12"
Prodigal Pyromancer,,Jeremy Jarvis,152,Creature — Human Wizard,{T}: Prodigal Pyromancer deals 1 damage to target creature or player.,"PLC,10E,M10,DPA,M11"
Pyretic Ritual,,James Paick,153,Instant,Add {R}{R}{R} to your mana pool.,M11
Pyroclasm,,John Avon,154,Sorcery,Pyroclasm deals 2 damage to each creature.,"ICE,POR,7ED,pMPR,DKM,8ED,9ED,10E,M10,M11,DDK,DDL"
Reverberate,,jD,155,Instant,Copy target instant or sorcery spell. You may choose new targets for the copy.,"M11,PD2,M12,M13"
Shiv's Embrace,,Dave Kendall,156,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has flying.
{R}: Enchanted creature gets +1/+0 until end of turn.,"USG,M11,DDG,M14"
Thunder Strike,,Wayne Reynolds,157,Instant,Target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.),"M11,M14"
Volcanic Strength,,Izzy,158,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.),"M11,M13"
Vulshok Berserker,,Pete Venters,159,Creature — Human Berserker,Haste (This creature can attack and {T} as soon as it comes under your control.),"MRD,M11,DDI"
Wild Evocation,,Chippy,160,Enchantment,"At the beginning of each player's upkeep, that player reveals a card at random from his or her hand. If it's a land card, the player puts it onto the battlefield. Otherwise, the player casts it without paying its mana cost if able.",M11
Acidic Slime,,Karl Kopinski,161,Creature — Ooze,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhen Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","pFNM,M10,M11,CMD,M12,M13,C13,DDM,C15"
Autumn's Veil,,Kekai Kotaki,162,Instant,"Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn.","M11,M12"
Awakener Druid,,Jason Chan,163,Creature — Human Druid,"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.","M10,M11"
Back to Nature,,Howard Lyon,164,Instant,Destroy all enchantments.,"M11,M15"
Birds of Paradise,,Marcelo Vignali,165,Creature — Bird,Flying\n{T}: Add one mana of any color to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,5ED,6ED,7ED,8ED,RAV,10E,M10,M11,M12"
Brindle Boar,,Dave Allsop,166,Creature — Boar,Sacrifice Brindle Boar: You gain 4 life.,"M11,M12,M14"
