name,cost,artist,number,type,text,printings
Animate Dead,,Anson Maddocks,,Enchantment — Aura,"Enchant creature card in a graveyard\nWhen Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets -1/-0.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,MED,PD3,VMA"
Animate Wall,,Dan Frazier,,Enchantment — Aura,Enchant Wall\nEnchanted Wall can attack as though it didn't have defender.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,MED"
Ankh of Mishra,,Amy Weber,,Artifact,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,MED,VMA"
Apprentice Wizard,,Dan Frazier,,Creature — Human Wizard,"{U}, {T}: Add {3} to your mana pool.","DRK,4ED,MED"
Armageddon,,Jesper Myrfors,,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,pJGP,PO2,ATH,6ED,S99,MED,ME4,VMA,V14"
Armageddon Clock,,Amy Weber,,Artifact,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.\nAt the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.
{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.","ATQ,3ED,4ED,ME4"
Ashes to Ashes,,Drew Tucker,,Sorcery,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,"DRK,4ED,5ED,ME3"
Ashnod's Battle Gear,,Mark Poole,,Artifact,"You may choose not to untap Ashnod's Battle Gear during your untap step.\n{2}, {T}: Target creature you control gets +2/-2 for as long as Ashnod's Battle Gear remains tapped.","ATQ,4ED"
Aspect of Wolf,,Jeff A. Menges,,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED"
Backfire,,Brian Snõddy,,Enchantment — Aura,"Enchant creature\nWhenever enchanted creature deals damage to you, Backfire deals that much damage to that creature's controller.","LEG,4ED"
Bad Moon,,Jesper Myrfors,,Enchantment,Black creatures get +1/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,TSB,DDD,C14,DD3_GVL"
Balance,,Mark Poole,,Sorcery,"Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.","LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,V09,ME4,VMA"
Ball Lightning,,Quinton Hoover,,Creature — Elemental,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.","DRK,4ED,5ED,pJGP,BTD,MED,M10,PD2"
Battering Ram,,Jeff A. Menges,,Artifact Creature — Construct,"At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)\nWhenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.","ATQ,4ED,RQS,ITP,5ED"
Benalish Hero,,Douglas Shuler,,Creature — Human Soldier,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,MED"
Bird Maiden,,Kaja Foglio,,Creature — Human Bird,Flying,"ARN,4ED,5ED,ME4"
Birds of Paradise,,Mark Poole,,Creature — Bird,Flying\n{T}: Add one mana of any color to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,5ED,6ED,7ED,8ED,RAV,10E,M10,M11,M12"
Black Knight,,Jeff A. Menges,,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,pFNM,MED,M10,M11,ME4"
Black Mana Battery,,Anson Maddocks,,Artifact,"{2}, {T}: Put a charge counter on Black Mana Battery.\n{T}, Remove any number of charge counters from Black Mana Battery: Add {B} to your mana pool, then add an additional {B} to your mana pool for each charge counter removed this way.","LEG,4ED"
Black Vise,,Richard Thomas,,Artifact,"As Black Vise enters the battlefield, choose an opponent.\nAt the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in his or her hand minus 4.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ME3,V10"
Black Ward,,Dan Frazier,,Enchantment — Aura,Enchant creature\nEnchanted creature has protection from black. This effect doesn't remove Black Ward.,"LEA,LEB,2ED,CED,CEI,3ED,4ED"
Blessing,,Julie Baroh,,Enchantment — Aura,Enchant creature\n{W}: Enchanted creature gets +1/+1 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,M14"
Blight,,Pete Venters,,Enchantment — Aura,"Enchant land\nWhen enchanted land becomes tapped, destroy it.","LEG,4ED,5ED,6ED,MED"
Blood Lust,,Anson Maddocks,,Instant,"If target creature has toughness 5 or greater, it gets +4/-4 until end of turn. Otherwise, it gets +4/-X until end of turn, where X is its toughness minus 1.","LEG,4ED,5ED,ME3"
Blue Elemental Blast,,Richard Thomas,,Instant,Choose one —\n• Counter target red spell.
• Destroy target red permanent.,"LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,ME4"
Blue Mana Battery,,Amy Weber,,Artifact,"{2}, {T}: Put a charge counter on Blue Mana Battery.\n{T}, Remove any number of charge counters from Blue Mana Battery: Add {U} to your mana pool, then add an additional {U} to your mana pool for each charge counter removed this way.","LEG,4ED"
Blue Ward,,Dan Frazier,,Enchantment — Aura,Enchant creature\nEnchanted creature has protection from blue. This effect doesn't remove Blue Ward.,"LEA,LEB,2ED,CED,CEI,3ED,4ED"
Bog Imp,,Ron Spencer,,Creature — Imp,Flying (This creature can't be blocked except by creatures with flying or reach.),"DRK,4ED,RQS,ITP,5ED,POR,6ED,S99,S00,7ED,8ED,9ED"
Bog Wraith,,Jeff A. Menges,,Creature — Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E,M10"
Bottle of Suleiman,,Jesper Myrfors,,Artifact,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield. If you lose the flip, Bottle of Suleiman deals 5 damage to you.","ARN,3ED,4ED,5ED,6ED,ME4"
Brainwash,,Pete Venters,,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack unless its controller pays {3}.,"DRK,4ED,5ED"
Brass Man,,Christopher Rush,,Artifact Creature — Construct,"Brass Man doesn't untap during your untap step.\nAt the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.","ARN,3ED,4ED,ME4"
Bronze Tablet,,Tom Wänerstrand,,Artifact,"Remove Bronze Tablet from your deck before playing if you're not playing for ante.\nBronze Tablet enters the battlefield tapped.
{4}, {T}: Exile Bronze Tablet and target nontoken permanent an opponent owns. That player may pay 10 life. If he or she does, put Bronze Tablet into its owner's graveyard. Otherwise, that player owns Bronze Tablet and you own the other exiled card.","ATQ,4ED"
Brothers of Fire,,Mark Tedin,,Creature — Human Shaman,{1}{R}{R}: Brothers of Fire deals 1 damage to target creature or player and 1 damage to you.,"DRK,4ED,5ED,MED"
Burrowing,,Mark Poole,,Enchantment — Aura,Enchant creature\nEnchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,6ED"
Carnivorous Plant,,Quinton Hoover,,Creature — Plant Wall,Defender,"DRK,4ED,ATH,MED"
Carrion Ants,,Richard Thomas,,Creature — Insect,{1}: Carrion Ants gets +1/+1 until end of turn.,"LEG,4ED,5ED,ME3"
Castle,,Dameon Willich,,Enchantment,Untapped creatures you control get +0/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED"
Cave People,,Drew Tucker,,Creature — Human,"Whenever Cave People attacks, it gets +1/-2 until end of turn.\n{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)","DRK,4ED,5ED"
Celestial Prism,,Amy Weber,,Artifact,"{2}, {T}: Add one mana of any color to your mana pool.","LEA,LEB,2ED,CED,CEI,3ED,4ED"
Channel,,Richard Thomas,,Sorcery,"Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.","LEA,LEB,2ED,CED,CEI,3ED,4ED,V09,ME4,VMA"
Chaoslace,,Dameon Willich,,Instant,Target spell or permanent becomes red. (Its mana symbols remain unchanged.),"LEA,LEB,2ED,CED,CEI,3ED,4ED"
Circle of Protection: Artifacts,,Pete Venters,,Enchantment,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.","ATQ,4ED,5ED,5DN"
Circle of Protection: Black,,Jesper Myrfors,,Enchantment,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.","LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,7ED,8ED,9ED"
Circle of Protection: Blue,,Dameon Willich,,Enchantment,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED"
Circle of Protection: Green,,Sandra Everingham,,Enchantment,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED"
Circle of Protection: Red,,Mark Tedin,,Enchantment,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,pFNM,7ED,8ED,9ED"
Circle of Protection: White,,Douglas Shuler,,Enchantment,"{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED"
Clay Statue,,Jesper Myrfors,,Artifact Creature — Golem,{2}: Regenerate Clay Statue.,"ATQ,4ED,5ED,ME4"
Clockwork Avian,,Randy Asplund-Faith,,Artifact Creature — Bird,"Flying\nClockwork Avian enters the battlefield with four +1/+0 counters on it.
At end of combat, if Clockwork Avian attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Avian. This ability can't cause the total number of +1/+0 counters on Clockwork Avian to be greater than four. Activate this ability only during your upkeep.","ATQ,4ED,BTD,ME4"
Clockwork Beast,,Drew Tucker,,Artifact Creature — Beast,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,BTD,MED"
Cockatrice,,Dan Frazier,,Creature — Cockatrice,"Flying\nWhenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,TSB"
Colossus of Sardia,,Jesper Myrfors,,Artifact Creature — Golem,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nColossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.","ATQ,4ED,5ED,10E,ME4"
Conservator,,Amy Weber,,Artifact,"{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.","LEA,LEB,2ED,CED,CEI,3ED,4ED"
Control Magic,,Dameon Willich,,Enchantment — Aura,Enchant creature\nYou control enchanted creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,BRB,ME4,C13,DDM,VMA"
Conversion,,Jesper Myrfors,,Enchantment,"At the beginning of your upkeep, sacrifice Conversion unless you pay {W}{W}.\nAll Mountains are Plains.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ME4"
Coral Helm,,Amy Weber,,Artifact,"{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.","ATQ,4ED,5ED,ME4"
Cosmic Horror,,Jesper Myrfors,,Creature — Horror,"First strike\nAt the beginning of your upkeep, destroy Cosmic Horror unless you pay {3}{B}{B}{B}. If Cosmic Horror is destroyed this way, it deals 7 damage to you.","LEG,4ED,ME3"
Counterspell,,Mark Poole,,Instant,Counter target spell.,"LEA,LEB,2ED,CED,CEI,3ED,pLGM,4ED,ICE,5ED,TMP,pJGP,6ED,S99,MMQ,BRB,pFNM,S00,BTD,7ED,ME2,DD2,ME4,VMA,DD3_JVC,TPR"
Craw Wurm,,Daniel Gelon,,Creature — Wurm,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,8ED,9ED,10E,M10"
Creature Bond,,Anson Maddocks,,Enchantment — Aura,"Enchant creature\nWhen enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.","LEA,LEB,2ED,CED,CEI,3ED,4ED"
Crimson Manticore,,Daniel Gelon,,Creature — Manticore,"Flying\n{R}, {T}: Crimson Manticore deals 1 damage to target attacking or blocking creature.","LEG,4ED,5ED,ME3"
Crumble,,Jesper Myrfors,,Instant,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.,"ATQ,3ED,4ED,5ED,ME4"
Crusade,,Mark Poole,,Enchantment,White creatures get +1/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,pSUS,MED,DDF"
Crystal Rod,,Amy Weber,,Artifact,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED"
Cursed Land,,Jesper Myrfors,,Enchantment — Aura,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED"
Cursed Rack,,Richard Thomas,,Artifact,"As Cursed Rack enters the battlefield, choose an opponent.\nThe chosen player's maximum hand size is four.","ATQ,4ED,MED"
Cyclopean Mummy,,"Edward P. Beard, Jr.",,Creature — Zombie,"When Cyclopean Mummy dies, exile it.","LEG,4ED,ME4"
Dancing Scimitar,,Anson Maddocks,,Artifact Creature — Spirit,Flying (This creature can't be blocked except by creatures with flying or reach.),"ARN,3ED,4ED,5ED,6ED,9ED"
Dark Ritual,,Sandra Everingham,,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR"
Death Ward,,Mark Poole,,Instant,Regenerate target creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,MED"
Deathgrip,,Anson Maddocks,,Enchantment,{B}{B}: Counter target green spell.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ME4"
Deathlace,,Sandra Everingham,,Instant,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.),"LEA,LEB,2ED,CED,CEI,3ED,4ED"
Desert Twister,,Susan Van Camp,,Sorcery,Destroy target permanent.,"ARN,3ED,4ED,5ED,MMQ,ME3,VMA,C14,C15"
Detonate,,Randy Asplund-Faith,,Sorcery,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller.,"ATQ,4ED,RQS,ITP,5ED,MRD,ME4"
Diabolic Machine,,Anson Maddocks,,Artifact Creature — Construct,{3}: Regenerate Diabolic Machine.,"DRK,4ED,5ED,ME4"
Dingus Egg,,Dan Frazier,,Artifact,"Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED"
Disenchant,,Amy Weber,,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR"
Disintegrate,,Anson Maddocks,,Sorcery,"Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,TSB"
Disrupting Scepter,,Dan Frazier,,Artifact,"{3}, {T}: Target player discards a card. Activate this ability only during your turn.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,9ED"
Divine Transformation,,NéNé Thomas,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +3/+3.,"LEG,4ED,5ED,6ED,MED"
Dragon Engine,,Anson Maddocks,,Artifact Creature — Construct,{2}: Dragon Engine gets +1/+0 until end of turn.,"ATQ,3ED,4ED,5ED,6ED,MED,ME4"
Dragon Whelp,,Amy Weber,,Creature — Dragon,"Flying\n{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.","LEA,LEB,2ED,CED,CEI,3ED,4ED,TSB,DRB,M10,ARC,DDG,CMD"
Drain Life,,Douglas Shuler,,Sorcery,"Spend only black mana on X.\nDrain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.","LEA,LEB,2ED,CED,CEI,3ED,4ED,MIR,5ED,pFNM,BTD"
Drain Power,,Douglas Shuler,,Sorcery,Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ME4"
Drudge Skeletons,,Sandra Everingham,,Creature — Skeleton,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,S00,7ED,8ED,9ED,10E,M10,DDD,DPA,DD3_GVL"
Durkwood Boars,,Mike Kimble,,Creature — Boar,,"LEG,4ED,RQS,ITP,5ED,S99,S00"
Dwarven Warriors,,Douglas Shuler,,Creature — Dwarf Warrior,{T}: Target creature with power 2 or less can't be blocked this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED"
Earth Elemental,,Dan Frazier,,Creature — Elemental,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,S99,10E,DPA"
Earthquake,,Dan Frazier,,Sorcery,Earthquake deals X damage to each creature without flying and each player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,PO2,6ED,7ED,M10,CMD,C15"
Ebony Horse,,Dameon Willich,,Artifact,"{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.","ARN,3ED,4ED,ME4"
El-Hajjâj,,Dameon Willich,,Creature — Human Wizard,"Whenever El-Hajjâj deals damage, you gain that much life.","ARN,3ED,4ED"
Elder Land Wurm,,Quinton Hoover,,Creature — Dragon Wurm,"Defender, trample\nWhen Elder Land Wurm blocks, it loses defender.","LEG,4ED,MED"
Elven Riders,,Melissa A. Benson,,Creature — Elf,Elven Riders can't be blocked except by Walls and/or creatures with flying.,"LEG,4ED,RQS,ITP,5ED,6ED,ONS,10E,DPA"
Elvish Archers,,Anson Maddocks,,Creature — Elf Archer,First strike,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED"
Energy Flux,,Kaja Foglio,,Enchantment,"All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."","ATQ,3ED,4ED,RQS,ITP,5ED,MMQ,ME4"
Energy Tap,,Daniel Gelon,,Sorcery,"Tap target untapped creature you control. If you do, add {X} to your mana pool, where X is that creature's converted mana cost.","LEG,4ED"
Erg Raiders,,Dameon Willich,,Creature — Human Warrior,"At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.","ARN,3ED,4ED,5ED,MED"
Erosion,,Pete Venters,,Enchantment — Aura,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life.","DRK,4ED"
Eternal Warrior,,Anson Maddocks,,Enchantment — Aura,Enchant creature\nEnchanted creature has vigilance.,"LEG,4ED,5ED"
Evil Presence,,Sandra Everingham,,Enchantment — Aura,Enchant land\nEnchanted land is a Swamp.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ME3,NPH"
Eye for an Eye,,Mark Poole,,Instant,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.","ARN,3ED,4ED,5ED,ME4"
Fear,,Mark Poole,,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,6ED,7ED,8ED,9ED,10E"
Feedback,,Quinton Hoover,,Enchantment — Aura,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED"
Fellwar Stone,,Quinton Hoover,,Artifact,{T}: Add to your mana pool one mana of any color that a land an opponent controls could produce.,"DRK,4ED,5ED,9ED,ME3,CMD,C15"
Fire Elemental,,Melissa A. Benson,,Creature — Elemental,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,6ED,S99,7ED,M13"
Fireball,,Mark Tedin,,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC"
Firebreathing,,Dan Frazier,,Enchantment — Aura,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,MIR,5ED,6ED,9ED,10E,M10,M12"
Fissure,,Douglas Shuler,,Instant,Destroy target creature or land. It can't be regenerated.,"DRK,4ED,MED"
Flashfires,,Dameon Willich,,Sorcery,Destroy all Plains.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,8ED,9ED"
Flight,,Anson Maddocks,,Enchantment — Aura,Enchant creature\nEnchanted creature has flying.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,S00,7ED,8ED,9ED,M12"
Flood,,Dennis Detwiller,,Enchantment,{U}{U}: Tap target creature without flying.,"DRK,4ED,5ED,BRB"
Flying Carpet,,Mark Tedin,,Artifact,"{2}, {T}: Target creature gains flying until end of turn.","ARN,3ED,4ED,5ED,6ED,7ED,8ED,ME4"
Fog,,Jesper Myrfors,,Instant,Prevent all combat damage that would be dealt this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,MIR,5ED,6ED,BTD,7ED,M10,ARC,M11,ME4,M12,M13,M14"
Force of Nature,,Douglas Shuler,,Creature — Elemental,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nAt the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,pREL,9ED,ME4"
Forest,,Christopher Rush,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15"
Forest,,Christopher Rush,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15"
