name,cost,artist,number,type,text,printings
Puppeteer,,Kev Walker,98,Creature — Human Wizard,"{U}, {T}: You may tap or untap target creature.","ODY,8ED,9ED,10E"
Reminisce,,Ralph Horsley,99,Sorcery,Target player shuffles his or her graveyard into his or her library.,"ONS,9ED,10E,DDJ"
Remove Soul,,Adam Rex,100,Instant,Counter target creature spell.,"LEG,CHR,5ED,6ED,S99,7ED,pMPR,8ED,9ED,10E,ME3"
Robe of Mirrors,,Christopher Moeller,101,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has shroud. (It can't be the target of spells or abilities.),"EXO,10E"
Rootwater Commando,,Mark Tedin,102,Creature — Merfolk,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"NMS,10E"
Rootwater Matriarch,,Daren Bader,103,Creature — Merfolk,{T}: Gain control of target creature for as long as that creature is enchanted.,"TMP,10E"
Sage Owl,,Mark Brill,104,Creature — Bird,"Flying\nWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order.","WTH,6ED,7ED,8ED,10E,M10"
Scalpelexis,,Mark Tedin,105,Creature — Beast,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Scalpelexis deals combat damage to a player, that player exiles the top four cards of his or her library. If two or more of those cards have the same name, repeat this process.","JUD,10E"
Sea Monster,,Brian Despain,106,Creature — Serpent,Sea Monster can't attack unless defending player controls an Island.,"TMP,6ED,7ED,8ED,9ED,10E,TPR"
Shimmering Wings,,Carl Critchlow,107,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)
{U}: Return Shimmering Wings to its owner's hand.,"TMP,INV,10E"
Sift,,Jeremy Jarvis,108,Sorcery,"Draw three cards, then discard a card.","STH,9ED,10E,TPR"
Sky Weaver,,Christopher Moeller,109,Creature — Metathran Wizard,{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"INV,10E"
Snapping Drake,,Dave Dorman,110,Creature — Drake,Flying,"POR,pPOD,S99,BTD,RAV,10E,M10,DPA"
Spiketail Hatchling,,Greg Staples,111,Creature — Drake,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.,"PCY,8ED,10E"
Sunken Hope,,Volkan Baga,112,Enchantment,"At the beginning of each player's upkeep, that player returns a creature he or she controls to its owner's hand.","PLS,10E,PC2"
Telepathy,,Matthew D. Wilson,113,Enchantment,Your opponents play with their hands revealed.,"USG,7ED,8ED,9ED,10E,M10"
Telling Time,,Scott M. Fischer,114,Instant,"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.","RAV,10E,MM2"
Thieving Magpie,,Una Fricker,115,Creature — Bird,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Thieving Magpie deals damage to an opponent, draw a card.","UDS,7ED,8ED,9ED,10E,DPA"
Tidings,,Pete Venters,116,Sorcery,Draw four cards.,"S99,pMPR,9ED,10E"
Time Stop,,Scott M. Fischer,117,Instant,"End the turn. (Exile all spells and abilities on the stack, including this card. The player whose turn it is discards down to his or her maximum hand size. Damage wears off, and "this turn" and "until end of turn" effects end.)","CHK,10E"
Time Stretch,,Matt Cavotta,118,Sorcery,Target player takes two extra turns after this one.,"ODY,10E"
Traumatize,,Greg Staples,119,Sorcery,"Target player puts the top half of his or her library, rounded down, into his or her graveyard.","ODY,9ED,10E,M10,M11,M14"
Twincast,,Christopher Moeller,120,Instant,Copy target instant or sorcery spell. You may choose new targets for the copy.,"SOK,10E,M10"
Twitch,,DiTerlizzi,121,Instant,"You may tap or untap target artifact, creature, or land.\nDraw a card.","TMP,10E,WWK,TPR"
Unsummon,,Ron Spencer,122,Instant,Return target creature to its owner's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,CON,M10,DPA,M11,M12,M13"
Vedalken Mastermind,,Darrell Riche,123,Creature — Vedalken Wizard,"{U}, {T}: Return target permanent you control to its owner's hand.","5DN,10E"
Wall of Air,,John Avon,124,Creature — Wall,"Defender, flying (This creature can't attack, and it can block creatures with flying.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,10E"
Afflict,,Roger Raupp,125,Instant,Target creature gets -1/-1 until end of turn.\nDraw a card.,"ODY,10E"
Agonizing Memories,,Adam Rex,126,Sorcery,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,"WTH,6ED,7ED,10E"
Ascendant Evincar,,Mark Zug,127,Legendary Creature — Vampire,Flying (This creature can't be blocked except by creatures with flying or reach.)\nOther black creatures get +1/+1.
Nonblack creatures get -1/-1.,"NMS,10E,HOP,DPA"
Assassinate,,Kev Walker,128,Sorcery,Destroy target tapped creature.,"TSP,10E,M10,M11,PC2,CNS"
Beacon of Unrest,,Alan Pollack,129,Sorcery,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,"5DN,10E,HOP,ARC"
Bog Wraith,,Daarken,130,Creature — Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E,M10"
Consume Spirit,,Matt Thompson,131,Sorcery,Spend only black mana on X.\nConsume Spirit deals X damage to target creature or player and you gain X life.,"pMEI,MRD,9ED,10E,DDC,M10,HOP,DPA,M12,DD3_DVD"
Contaminated Bond,,Thomas M. Baxa,132,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature attacks or blocks, its controller loses 3 life.","MRD,9ED,10E"
Cruel Edict,,Michael Sutfin,133,Sorcery,Target opponent sacrifices a creature.,"PO2,pMPR,9ED,10E,DDC,DD3_DVD"
Deathmark,,Jeremy Jarvis,134,Sorcery,Destroy target green or white creature.,"CSP,10E,M10,M11,M12,MM2"
Diabolic Tutor,,Greg Staples,135,Sorcery,Search your library for a card and put that card into your hand. Then shuffle your library.,"ODY,8ED,9ED,10E,M10,M11,CMD,M12,M14"
Distress,,Michael Sutfin,136,Sorcery,Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.,"CHK,10E,M12"
Doomed Necromancer,,Volkan Baga,137,Creature — Human Cleric Mercenary,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.","ONS,10E"
Dross Crocodile,,Carl Critchlow,138,Creature — Zombie Crocodile,,"5DN,10E"
Drudge Skeletons,,Jim Nelson,139,Creature — Skeleton,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,S00,7ED,8ED,9ED,10E,M10,DDD,DPA,DD3_GVL"
Dusk Imp,,Pete Venters,140,Creature — Imp,Flying,"ODY,8ED,10E,DDC,DPA,DD3_DVD"
Essence Drain,,Jim Nelson,141,Sorcery,Essence Drain deals 3 damage to target creature or player and you gain 3 life.,"DST,10E,DPA,M13"
Fear,,Adam Rex,142,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,6ED,7ED,8ED,9ED,10E"
Festering Goblin,,Thomas M. Baxa,143,Creature — Zombie Goblin,"When Festering Goblin dies, target creature gets -1/-1 until end of turn.","ONS,9ED,10E,HOP,ARC,MMA"
Grave Pact,,Puddnhead,144,Enchantment,"Whenever a creature you control dies, each other player sacrifices a creature.","STH,8ED,9ED,10E,HOP,CMD"
Graveborn Muse,,Kev Walker,145,Creature — Zombie Spirit,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.","LGN,10E"
Gravedigger,,Dermot Power,146,Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.","POR,TMP,6ED,S99,BTD,7ED,ODY,8ED,9ED,pGTW,10E,M10,HOP,M11,CMD,M12,M15,TPR"
Hate Weaver,,Roger Raupp,147,Creature — Zombie Wizard,{2}: Target blue or red creature gets +1/+0 until end of turn.,"INV,10E"
Head Games,,Terese Nielsen,148,Sorcery,"Target opponent puts the cards from his or her hand on top of his or her library. Search that player's library for that many cards. The player puts those cards into his or her hand, then shuffles his or her library.","ONS,10E"
Hidden Horror,,Brom,149,Creature — Horror,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","WTH,PO2,6ED,10E,PD3"
Highway Robber,,Kev Walker,150,Creature — Human Mercenary,"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life.","MMQ,9ED,10E,DDM"
Hypnotic Specter,,Greg Staples,151,Creature — Specter,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pMPR,9ED,10E,M10"
Knight of Dusk,,rk post,152,Creature — Human Knight,{B}{B}: Destroy target creature blocking Knight of Dusk.,"TMP,10E"
Looming Shade,,Kev Walker,153,Creature — Shade,{B}: Looming Shade gets +1/+1 until end of turn.,"USG,7ED,8ED,9ED,10E,M10"
Lord of the Pit,,Michael Sutfin,154,Creature — Demon,"Flying, trample\nAt the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,10E,DDC,DD3_DVD"
Lord of the Undead,,Brom,155,Creature — Zombie,"Other Zombie creatures get +1/+1.\n{1}{B}, {T}: Return target Zombie card from your graveyard to your hand.","PLS,8ED,9ED,10E"
Mass of Ghouls,,Lucio Parrillo,156,Creature — Zombie Warrior,,"FUT,10E"
Megrim,,Nick Percival,157,Enchantment,"Whenever an opponent discards a card, Megrim deals 2 damage to that player.","STH,7ED,8ED,9ED,10E,M10,DPA"
Midnight Ritual,,Jeff Easley,158,Sorcery,"Exile X target creature cards from your graveyard. For each creature card exiled this way, put a 2/2 black Zombie creature token onto the battlefield.","MMQ,10E"
Mind Rot,,Steve Luke,159,Sorcery,Target player discards two cards.,"POR,PO2,S99,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M13,RTR,M14,M15,DTK,ORI"
Mortal Combat,,Mike Ploog,160,Enchantment,"At the beginning of your upkeep, if twenty or more creature cards are in your graveyard, you win the game.","TOR,10E"
Mortivore,,Anthony S. Waters,161,Creature — Lhurgoyf,Mortivore's power and toughness are each equal to the number of creature cards in all graveyards.\n{B}: Regenerate Mortivore.,"ODY,9ED,10E,DPA,CMD"
Nantuko Husk,,Carl Critchlow,162,Creature — Zombie Insect,Sacrifice a creature: Nantuko Husk gets +2/+2 until end of turn.,"ONS,9ED,10E,CMD,ORI"
Nekrataal,,Christopher Moeller,163,Creature — Human Assassin,"First strike\nWhen Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated.","VIS,BRB,8ED,9ED,10E,DDM,C14"
Nightmare,,Carl Critchlow,164,Creature — Nightmare Horse,Flying (This creature can't be blocked except by creatures with flying or reach.)\nNightmare's power and toughness are each equal to the number of Swamps you control.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,9ED,10E,M10,M14,M15,ORI"
No Rest for the Wicked,,Carl Critchlow,165,Enchantment,Sacrifice No Rest for the Wicked: Return to your hand all creature cards in your graveyard that were put there from the battlefield this turn.,"USG,10E"
Phage the Untouchable,,Ron Spears,166,Legendary Creature — Avatar Minion,"When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game.\nWhenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated.
Whenever Phage deals combat damage to a player, that player loses the game.","LGN,10E,CNS"
