name,cost,artist,number,type,text,printings
Twiddle,,Rob Alexander,,Instant,"You may tap or untap target artifact, creature, or land.","LEA,LEB,2ED,CED,CEI,4ED,RQS,ITP,5ED,7ED,8ED"
Unsummon,,Douglas Shuler,,Instant,Return target creature to its owner's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,CON,M10,DPA,M11,M12,M13"
Untamed Wilds,,NéNé Thomas,,Sorcery,Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library.,"LEG,4ED,RQS,ITP,5ED,POR,PO2,6ED,S99,7ED"
Vampire Bats,,Anson Maddocks,,Creature — Bat,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate this ability no more than twice each turn.,"LEG,4ED,RQS,ITP,5ED,10E,DDD,DD3_GVL"
Wall of Bone,,Anson Maddocks,,Creature — Skeleton Wall,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,7ED,M10,DDD,DD3_GVL"
War Mammoth,,Jeff A. Menges,,Creature — Elephant,Trample,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ME4"
Warp Artifact,,Amy Weber,,Enchantment — Aura,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ME4"
Weakness,,Douglas Shuler,,Enchantment — Aura,Enchant creature\nEnchanted creature gets -2/-1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,BRB,M10,ME4"
Whirling Dervish,,Susan Van Camp,,Creature — Human Monk,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it.","LEG,4ED,RQS,ITP,5ED,pSUS,TSB"
Winter Blast,,Kaja Foglio,,Sorcery,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.,"LEG,4ED,RQS,ITP,5ED,MED"
Zephyr Falcon,,Heather Hudson,,Creature — Bird,"Flying, vigilance","LEG,4ED,RQS,ITP,5ED"
